index,text,true_labels,pred_labels,missing_labels_FN,extra_labels_FP
0,bahannya bagus jaitannya juga tapi jaitan kancingnya sepertinya kurang kuat saya cuci 1x langsung copot,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,PRODUCT_NEGATIVE,PRODUCT_POSITIVE,
2,kualitas produk bagusss bgt pesen kemarin hri ini uda dtg sukaa,PRODUCT_POSITIVE|PLACE_POSITIVE,PRODUCT_POSITIVE,PLACE_POSITIVE,
5,suka belanja disini bagus bagus pelayanan ramah baik,PLACE_POSITIVE,PRODUCT_POSITIVE|PLACE_POSITIVE,,PRODUCT_POSITIVE
6,ukurannya pas bahan lumayan sesuai harga,OUT_OF_TOPIC,PRODUCT_POSITIVE|PRICE_NEUTRAL,OUT_OF_TOPIC,PRICE_NEUTRAL|PRODUCT_POSITIVE
7,bahan tipis kaya harga 70 80 rbu,PRODUCT_NEGATIVE,PRODUCT_NEGATIVE|PRICE_POSITIVE,,PRICE_POSITIVE
11,barang ya bagus sekali bahan nya tebal cuma kendala di pengiriman aja agak lambat,PRODUCT_POSITIVE|PLACE_NEGATIVE,PRODUCT_POSITIVE|PRODUCT_NEGATIVE|PLACE_NEGATIVE,,PRODUCT_NEGATIVE
12,pengalaman buruk kasir tidak ramah dan pelayanan kurang baik,PLACE_NEGATIVE,PLACE_POSITIVE|PLACE_NEGATIVE,,PLACE_POSITIVE
13,cocok fit nya di bb88180 next bakal beli artikel lain,PRODUCT_POSITIVE|PLACE_POSITIVE,PLACE_POSITIVE,PRODUCT_POSITIVE,
16,oke sih tapi dengan size 34 tb 173 bb 75 masih kedodoran njirr,PRODUCT_NEUTRAL,PRODUCT_NEGATIVE|PRODUCT_NEUTRAL,,PRODUCT_NEGATIVE
20,bahan bagus tebel adem tb 170 bb 63 ukuran m pas,PRODUCT_POSITIVE,PRODUCT_POSITIVE|OUT_OF_TOPIC,,OUT_OF_TOPIC
25,good lainnya juga adem,PRODUCT_POSITIVE,OUT_OF_TOPIC,PRODUCT_POSITIVE,OUT_OF_TOPIC
26,lucu,OUT_OF_TOPIC,PRODUCT_POSITIVE,OUT_OF_TOPIC,PRODUCT_POSITIVE
27,keren bb 70 tb 172 pake m,PRODUCT_POSITIVE|OUT_OF_TOPIC,PRODUCT_POSITIVE,OUT_OF_TOPIC,
29,lengkap ada aksesoris tas sepatu dll ada juga baju untuk pria dan wanita parkir luas lokasi strategis dan mudah dijangkau pelayanan ramah ada tiga lantai lantai pertama untuk aksesoris tas sepatu dll lantai dua digunakan untuk baju wanita dan lantai ketiga untuk baju pria akses untuk ke masingmasing lantai hanya menggunakan tangga tidak ada lift maupun eskalator,PRODUCT_POSITIVE|PLACE_POSITIVE,PLACE_POSITIVE|PLACE_NEGATIVE|PLACE_NEUTRAL,PRODUCT_POSITIVE,PLACE_NEGATIVE|PLACE_NEUTRAL
30,minta warna hitam yang datang abuabu,PLACE_NEGATIVE,PRODUCT_NEGATIVE|PLACE_NEGATIVE,,PRODUCT_NEGATIVE
31,bajunyaa bagus bgttt temanku sukaa sekali sama kualitasnyaa tapi di badannya masih terlalu besar padahal yg diambil ujuran s looo tapi gpp katanyaa,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,
