row_id,token_index,token,true_tag,pred_tag,correct
0,2,jaitannya,B-PRODUCT_POSITIVE,O,False
0,3,juga,I-PRODUCT_POSITIVE,O,False
0,14,copot,B-PRODUCT_NEGATIVE,O,False
1,3,banget,O,I-PLACE_POSITIVE,False
2,0,kualitas,O,B-PRODUCT_POSITIVE,False
2,1,produk,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
2,3,bgt,I-PRODUCT_POSITIVE,O,False
2,4,pesen,B-PLACE_POSITIVE,O,False
2,5,kemarin,I-PLACE_POSITIVE,O,False
2,6,hri,I-PLACE_POSITIVE,O,False
2,7,ini,I-PLACE_POSITIVE,O,False
2,8,uda,I-PLACE_POSITIVE,O,False
2,9,dtg,I-PLACE_POSITIVE,O,False
4,1,suka,O,I-PRODUCT_POSITIVE,False
4,2,simpel,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
4,3,size,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
5,3,bagus,O,B-PRODUCT_POSITIVE,False
5,4,bagus,O,I-PRODUCT_POSITIVE,False
6,0,ukurannya,O,B-PRODUCT_POSITIVE,False
6,1,pas,O,I-PRODUCT_POSITIVE,False
6,2,bahan,O,B-PRODUCT_POSITIVE,False
6,3,lumayan,O,I-PRODUCT_POSITIVE,False
6,4,sesuai,O,B-PRICE_POSITIVE,False
6,5,harga,O,I-PRICE_POSITIVE,False
7,2,kaya,I-PRODUCT_NEGATIVE,O,False
7,3,harga,I-PRODUCT_NEGATIVE,O,False
7,4,70,I-PRODUCT_NEGATIVE,O,False
7,5,80,I-PRODUCT_NEGATIVE,O,False
7,6,rbu,I-PRODUCT_NEGATIVE,O,False
8,2,banget,O,I-PRODUCT_POSITIVE,False
8,3,bahan,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
9,2,memuaskanterima,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
9,3,kasih,I-PRODUCT_POSITIVE,O,False
10,2,sesuai,I-PRODUCT_POSITIVE,B-PRODUCT_POSITIVE,False
10,4,so,I-PRODUCT_POSITIVE,O,False
11,3,sekali,O,I-PRODUCT_POSITIVE,False
12,0,pengalaman,B-PLACE_NEGATIVE,O,False
12,1,buruk,I-PLACE_NEGATIVE,O,False
12,2,kasir,I-PLACE_NEGATIVE,B-PLACE_NEGATIVE,False
13,5,next,B-PLACE_POSITIVE,O,False
13,6,bakal,I-PLACE_POSITIVE,O,False
13,9,lain,I-PLACE_POSITIVE,O,False
14,14,ukuran,O,B-PRODUCT_POSITIVE,False
14,15,s,O,I-PRODUCT_POSITIVE,False
14,20,ga,O,B-PRODUCT_POSITIVE,False
14,21,kekecilan,O,I-PRODUCT_POSITIVE,False
15,4,lembut,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
15,6,nya,O,I-PRODUCT_POSITIVE,False
15,7,gokil,O,I-PRODUCT_POSITIVE,False
16,0,oke,B-PRODUCT_NEUTRAL,O,False
16,1,sih,I-PRODUCT_NEUTRAL,O,False
17,3,bahan,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
18,4,lembut,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
18,5,kain,O,I-PRODUCT_POSITIVE,False
18,6,nya,O,I-PRODUCT_POSITIVE,False
18,7,gokil,O,I-PRODUCT_POSITIVE,False
19,2,produk,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
20,2,tebel,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
20,6,bb,O,I-OUT_OF_TOPIC,False
20,7,63,O,I-OUT_OF_TOPIC,False
20,8,ukuran,O,I-OUT_OF_TOPIC,False
20,9,m,O,I-OUT_OF_TOPIC,False
20,10,pas,O,I-OUT_OF_TOPIC,False
22,6,keren,O,I-PRODUCT_POSITIVE,False
23,3,dan,I-PRODUCT_POSITIVE,O,False
23,4,bahannya,I-PRODUCT_POSITIVE,B-PRODUCT_POSITIVE,False
23,6,nyaman,I-PRODUCT_POSITIVE,B-PRODUCT_POSITIVE,False
23,8,dan,I-PRODUCT_POSITIVE,O,False
23,9,ukurannya,I-PRODUCT_POSITIVE,B-PRODUCT_POSITIVE,False
23,12,di,I-PRODUCT_POSITIVE,O,False
23,13,badan,I-PRODUCT_POSITIVE,O,False
25,3,adem,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
26,0,lucu,B-OUT_OF_TOPIC,B-PRODUCT_POSITIVE,False
27,1,bb,B-OUT_OF_TOPIC,O,False
27,2,70,I-OUT_OF_TOPIC,O,False
27,3,tb,I-OUT_OF_TOPIC,O,False
27,4,172,I-OUT_OF_TOPIC,O,False
27,5,pake,I-OUT_OF_TOPIC,O,False
28,0,kemaren,O,B-PRODUCT_POSITIVE,False
28,1,beli,O,I-PRODUCT_POSITIVE,False
28,2,yg,O,I-PRODUCT_POSITIVE,False
28,3,hitam,O,I-PRODUCT_POSITIVE,False
28,4,skrg,O,I-PRODUCT_POSITIVE,False
28,5,yg,O,I-PRODUCT_POSITIVE,False
28,6,abu,O,I-PRODUCT_POSITIVE,False
28,7,nyakarna,O,B-PRODUCT_POSITIVE,False
28,8,sekeren,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
28,9,itu,I-PRODUCT_POSITIVE,O,False
28,10,celana,I-PRODUCT_POSITIVE,O,False
28,11,nyabb,I-PRODUCT_POSITIVE,O,False
29,1,ada,I-PRODUCT_POSITIVE,O,False
29,2,aksesoris,I-PRODUCT_POSITIVE,O,False
29,3,tas,I-PRODUCT_POSITIVE,O,False
29,4,sepatu,I-PRODUCT_POSITIVE,O,False
29,5,dll,I-PRODUCT_POSITIVE,O,False
29,13,parkir,O,B-PLACE_POSITIVE,False
29,14,luas,O,I-PLACE_POSITIVE,False
29,22,ada,O,B-PLACE_POSITIVE,False
29,23,tiga,O,I-PLACE_POSITIVE,False
29,24,lantai,O,I-PLACE_POSITIVE,False
30,0,minta,B-PLACE_NEGATIVE,O,False
30,1,warna,I-PLACE_NEGATIVE,B-PRODUCT_NEGATIVE,False
30,2,hitam,I-PLACE_NEGATIVE,O,False
30,3,yang,I-PLACE_NEGATIVE,I-PRODUCT_NEGATIVE,False
31,7,kualitasnyaa,O,I-PRODUCT_POSITIVE,False
31,12,terlalu,B-PRODUCT_NEGATIVE,O,False
31,13,besar,I-PRODUCT_NEGATIVE,O,False
32,2,nyari,I-PRODUCT_POSITIVE,O,False
32,5,dan,I-PRODUCT_POSITIVE,O,False
32,7,panjang,O,I-PRODUCT_POSITIVE,False
32,8,ukuran,O,I-PRODUCT_POSITIVE,False
32,9,bigsize,O,I-PRODUCT_POSITIVE,False
32,20,murah,I-PRICE_POSITIVE,O,False
33,2,bermacam,B-PRODUCT_POSITIVE,O,False
33,3,model,I-PRODUCT_POSITIVE,O,False
34,0,surganya,B-OUT_OF_TOPIC,B-PRODUCT_POSITIVE,False
34,1,para,I-OUT_OF_TOPIC,I-PRODUCT_POSITIVE,False
34,2,perempuan,I-OUT_OF_TOPIC,I-PRODUCT_POSITIVE,False
35,5,buat,I-PRODUCT_POSITIVE,O,False
35,6,anak,I-PRODUCT_POSITIVE,O,False
35,7,muda,I-PRODUCT_POSITIVE,O,False
35,8,banyak,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
36,0,another,B-PRODUCT_POSITIVE,O,False
36,1,favorite,I-PRODUCT_POSITIVE,B-PLACE_POSITIVE,False
36,2,local,I-PRODUCT_POSITIVE,I-PLACE_POSITIVE,False
36,3,brand,I-PRODUCT_POSITIVE,I-PLACE_POSITIVE,False
36,4,in,I-PRODUCT_POSITIVE,I-PLACE_POSITIVE,False
36,5,jogja,I-PRODUCT_POSITIVE,I-PLACE_POSITIVE,False
37,0,tempat,O,B-PLACE_POSITIVE,False
37,1,shopping,O,I-PLACE_POSITIVE,False
37,2,yang,O,I-PRICE_POSITIVE,False
37,3,lumayan,B-PRICE_POSITIVE,I-PRICE_POSITIVE,False
37,5,untuk,I-PRICE_POSITIVE,O,False
37,37,ada,B-PLACE_POSITIVE,O,False
37,38,parkir,I-PLACE_POSITIVE,O,False
37,39,motor,I-PLACE_POSITIVE,O,False
37,40,dan,I-PLACE_POSITIVE,O,False
37,41,mobil,I-PLACE_POSITIVE,O,False
37,42,juga,I-PLACE_POSITIVE,O,False
37,43,luas,I-PLACE_POSITIVE,O,False
38,3,saya,O,I-PRODUCT_POSITIVE,False
38,4,sukaaa,O,I-PRODUCT_POSITIVE,False
39,4,tebel,I-PRODUCT_POSITIVE,B-PRODUCT_POSITIVE,False
39,5,ga,I-PRODUCT_POSITIVE,O,False
39,6,kecewa,I-PRODUCT_POSITIVE,O,False
39,7,beli,I-PRODUCT_POSITIVE,O,False
39,8,di,B-PLACE_POSITIVE,O,False
39,9,sini,I-PLACE_POSITIVE,O,False
39,14,ukuran,O,B-PRODUCT_POSITIVE,False
39,15,s,O,I-PRODUCT_POSITIVE,False
39,20,ga,O,B-PRODUCT_POSITIVE,False
39,21,kekecilan,O,I-PRODUCT_POSITIVE,False
40,0,sy,O,B-PRODUCT_NEGATIVE,False
40,1,tdk,O,I-PRODUCT_NEGATIVE,False
40,2,ngecek,O,I-PRODUCT_NEGATIVE,False
40,3,pas,O,I-PRODUCT_NEGATIVE,False
40,5,di,O,I-PRODUCT_NEGATIVE,False
